,demographics_key,dissemination_area,population,average_age,median_age,total_dwellings,average_household_size,median_household_income,mother_tongue_official_percentage,mother_tongue_unofficial_percentage,census_year
0,202135010159,35010159,533,45.8,50.4,210,2.6,87000.0,95.28,4.72,2021
1,202135010160,35010160,485,45.2,50.0,200,2.4,88000.0,94.85,5.15,2021
2,202135010161,35010161,402,44.5,44.8,160,2.5,77000.0,96.25,3.75,2021
3,202135010162,35010162,383,50.9,57.2,150,2.2,73500.0,98.67,1.33,2021
4,202135010163,35010163,519,45.1,48.8,210,2.4,84000.0,94.17,5.83,2021
5,202135010164,35010164,450,45.5,50.0,180,2.5,92000.0,96.67,3.33,2021
6,202135010165,35010165,402,46.0,50.8,170,2.4,87000.0,98.77,1.23,2021
7,202135010166,35010166,488,42.6,43.6,185,2.6,97000.0,95.92,4.08,2021
8,202135010167,35010167,461,45.5,48.8,180,2.6,96000.0,97.85,2.15,2021
9,202135010168,35010168,429,41.3,44.0,155,2.8,105000.0,98.84,1.16,2021
10,202135010169,35010169,435,41.9,45.2,165,2.7,95000.0,96.55,3.45,2021
11,202135010170,35010170,495,43.1,45.2,185,2.7,99000.0,96.97,3.03,2021
12,202135010171,35010171,490,43.5,46.4,185,2.6,89000.0,88.78,11.22,2021
13,202135010172,35010172,1089,41.7,44.0,405,2.7,100000.0,89.4,10.6,2021
14,202135010173,35010173,821,48.2,54.8,355,2.3,105000.0,94.51,5.49,2021
15,202135010179,35010179,601,46.0,51.2,235,2.6,130000.0,94.21,5.79,2021
16,202135010376,35010376,667,50.5,56.4,300,2.2,92000.0,93.28,6.72,2021
17,202135010399,35010399,422,48.6,53.2,175,2.3,79000.0,95.0,5.0,2021
18,202135010400,35010400,491,51.0,54.4,210,2.2,64000.0,96.7,3.3,2021
19,202135010401,35010401,560,41.9,45.2,210,2.7,112000.0,98.21,1.79,2021
20,202135010402,35010402,461,42.4,43.2,160,2.8,88000.0,94.57,5.43,2021
21,202135010403,35010403,426,44.3,47.2,190,2.3,73000.0,97.65,2.35,2021
22,202135010404,35010404,1029,55.8,60.8,525,2.0,83000.0,93.69,6.31,2021
23,202135010405,35010405,397,43.1,48.8,155,2.5,86000.0,92.41,7.59,2021
24,202135010406,35010406,394,47.3,52.0,175,2.3,79500.0,96.25,3.75,2021
25,202135010174,35010174,,,,,,,,,2021
26,202135010175,35010175,,,,,,,,,2021
27,202135010176,35010176,,,,,,,,,2021
28,202135010177,35010177,,,,,,,,,2021
29,202135010178,35010178,,,,,,,,,2021
30,202135010201,35010201,,,,,,,,,2021
31,202135010377,35010377,,,,,,,,,2021
32,202135010378,35010378,,,,,,,,,2021
33,202135010379,35010379,,,,,,,,,2021
34,202135010380,35010380,,,,,,,,,2021
35,202135010381,35010381,,,,,,,,,2021
36,202135010382,35010382,,,,,,,,,2021
37,202135010383,35010383,,,,,,,,,2021
38,202135010384,35010384,,,,,,,,,2021
39,202135010385,35010385,,,,,,,,,2021
40,202135010386,35010386,,,,,,,,,2021
41,202135010387,35010387,,,,,,,,,2021
42,202135010388,35010388,,,,,,,,,2021
43,202135010389,35010389,,,,,,,,,2021
44,202135010390,35010390,,,,,,,,,2021
45,202135010391,35010391,,,,,,,,,2021
46,202135010392,35010392,,,,,,,,,2021
47,202135010393,35010393,,,,,,,,,2021
48,202135010394,35010394,,,,,,,,,2021
49,202135010395,35010395,,,,,,,,,2021
50,202135010396,35010396,,,,,,,,,2021
51,202135010397,35010397,,,,,,,,,2021
52,202135010398,35010398,,,,,,,,,2021
53,202135010407,35010407,,,,,,,,,2021
54,202135010408,35010408,,,,,,,,,2021
55,202135010273,35010273,668,43.5,45.6,275,2.4,83000.0,97.74,2.26,2021
56,202135010274,35010274,480,45.3,48.0,200,2.4,80000.0,97.92,2.08,2021
57,202135010275,35010275,928,43.8,46.8,345,2.7,92000.0,96.24,3.76,2021
58,202135010276,35010276,587,43.9,47.6,225,2.6,114000.0,98.29,1.71,2021
59,202135010277,35010277,528,46.1,51.2,215,2.5,103000.0,97.17,2.83,2021
60,202135010278,35010278,421,43.7,47.2,170,2.5,95000.0,97.62,2.38,2021
61,202135010279,35010279,404,44.2,48.0,160,2.5,90000.0,96.3,3.7,2021
62,202135010280,35010280,414,42.8,47.2,155,2.7,96000.0,97.59,2.41,2021
63,202135010281,35010281,467,43.3,46.0,190,2.5,88000.0,98.92,1.08,2021
64,202135010283,35010283,445,39.2,40.0,170,2.7,79000.0,98.89,1.11,2021
65,202135010312,35010312,466,43.6,46.4,195,2.4,77000.0,97.85,2.15,2021
66,202135010313,35010313,663,50.0,54.8,290,2.3,98000.0,97.74,2.26,2021
67,202135010314,35010314,640,50.9,56.0,305,2.1,81000.0,96.88,3.12,2021
68,202135010315,35010315,851,44.2,47.6,330,2.6,98000.0,96.47,3.53,2021
69,202135010316,35010316,368,46.4,49.2,160,2.3,72500.0,97.3,2.7,2021
70,202135010317,35010317,815,41.4,42.8,315,2.6,100000.0,96.93,3.07,2021
71,202135010318,35010318,672,46.8,48.8,290,2.1,70000.0,97.76,2.24,2021
72,202135010319,35010319,928,48.6,52.4,340,2.5,99000.0,95.88,4.12,2021
73,202135010320,35010320,902,44.7,48.4,340,2.6,131000.0,96.69,3.31,2021
74,202135010321,35010321,366,44.0,46.0,140,2.5,84000.0,95.89,4.11,2021
75,202135010322,35010322,492,41.9,43.6,180,2.7,84000.0,96.94,3.06,2021
76,202135010357,35010357,508,44.6,49.6,205,2.4,92000.0,98.04,1.96,2021
77,202135010358,35010358,557,43.8,46.0,215,2.6,90000.0,97.32,2.68,2021
78,202135010180,35010180,1215,51.1,55.2,465,2.3,82000.0,90.83,9.17,2021
79,202135010181,35010181,392,39.9,40.8,145,2.7,81000.0,94.81,5.19,2021
