,demographics_key,dissemination_area,population,median_age,total_dwellings,average_household_size,median_household_income,mother_tongue_official_percentage,mother_tongue_unofficial_percentage,census_year
0,201135010155,35010155,486,47.0,190,2.6,27712.0,100.0,0.0,2011
1,201135010156,35010156,477,45.7,200,2.4,26688.0,100.0,0.0,2011
2,201135010157,35010157,501,45.8,195,2.6,31200.0,100.0,0.0,2011
3,201135010158,35010158,520,46.9,210,2.5,32384.0,100.0,0.0,2011
4,201135010159,35010159,502,48.9,205,2.5,31659.0,99.01,0.99,2011
5,201135010160,35010160,454,44.5,180,2.5,32981.0,100.0,0.0,2011
6,201135010161,35010161,414,45.1,160,2.6,31040.0,100.0,0.0,2011
7,201135010162,35010162,404,52.0,155,2.4,29760.0,100.0,0.0,2011
8,201135010163,35010163,522,47.6,205,2.5,35200.0,100.0,0.0,2011
9,201135010164,35010164,436,47.9,175,2.5,36309.0,100.0,0.0,2011
10,201135010165,35010165,404,46.6,165,2.4,39616.0,100.0,0.0,2011
11,201135010166,35010166,455,48.2,175,2.6,36224.0,100.0,0.0,2011
12,201135010167,35010167,474,44.1,170,2.8,35456.0,100.0,0.0,2011
13,201135010168,35010168,427,42.9,150,2.8,39637.0,100.0,0.0,2011
14,201135010169,35010169,424,43.5,155,2.7,39488.0,100.0,0.0,2011
15,201135010170,35010170,462,47.3,175,2.6,31456.0,100.0,0.0,2011
16,201135010171,35010171,469,46.6,190,2.5,38656.0,100.0,0.0,2011
17,201135010172,35010172,1160,41.8,390,2.7,37658.0,98.71,1.29,2011
18,201135010173,35010173,771,48.8,315,2.4,45611.0,100.0,0.0,2011
19,201135010179,35010179,510,48.6,190,2.7,50048.0,100.0,0.0,2011
20,201135010180,35010180,858,50.2,300,2.4,34901.0,100.0,0.0,2011
21,201135010181,35010181,366,40.6,145,2.4,33408.0,98.61,1.39,2011
22,201135010182,35010182,463,50.1,190,2.5,33472.0,100.0,0.0,2011
23,201135010183,35010183,744,24.1,245,3.1,24256.0,97.97,2.03,2011
24,201135010184,35010184,409,55.1,175,2.3,33280.0,100.0,0.0,2011
25,201135010185,35010185,851,51.7,420,2.0,25504.0,99.41,0.59,2011
26,201135010186,35010186,614,49.0,280,2.1,28288.0,100.0,0.0,2011
27,201135010187,35010187,500,46.1,215,2.1,24256.0,100.0,0.0,2011
28,201135010188,35010188,430,47.2,195,2.3,23104.0,100.0,0.0,2011
29,201135010189,35010189,407,46.1,155,2.7,36544.0,100.0,0.0,2011
30,201135010190,35010190,409,45.1,195,2.1,28448.0,100.0,0.0,2011
31,201135010191,35010191,441,41.8,210,2.1,26160.0,100.0,0.0,2011
32,201135010192,35010192,446,40.6,210,2.1,25536.0,100.0,0.0,2011
33,201135010193,35010193,337,37.4,175,1.9,19712.0,100.0,0.0,2011
34,201135010194,35010194,362,35.0,170,2.1,18752.0,100.0,0.0,2011
35,201135010195,35010195,400,36.4,195,2.0,18133.0,100.0,0.0,2011
36,201135010196,35010196,310,34.3,160,1.9,18581.0,100.0,0.0,2011
37,201135010197,35010197,393,34.2,195,2.0,22720.0,97.44,2.56,2011
38,201135010198,35010198,262,61.0,180,1.4,20160.0,100.0,0.0,2011
