_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS,MUNICIPALITY_NAME,CENTRELINE_ID,OBJECTID,ID,STATION,YEAR_BUILD,WARD,WARD_NAME,TYPE_DESC,PUBLIC_ED_OFFICE,FIRE_PREV_OFFICE,FIRE_OTHER,geometry
1,4236992,900,Tapscott Rd,900 Tapscott Rd,Scarborough,4236991,1520443,2,211.0,1982.0,23,Scarborough North,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.2428700353868, 43.8239927252015)}"
2,308265,351,Birchmount Rd,351 Birchmount Rd,Scarborough,112783,1527311,69,,1925.0,20,Scarborough Southwest,Admin,None,Fire Prevention Office (E),Fire Museum,"{'type': 'Point', 'coordinates': (-79.2648070061304, 43.6998781187406)}"
3,764237,106,Ascot Ave,106 Ascot Ave,former Toronto,1140634,1541526,37,342.0,1915.0,9,Davenport,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4486262604651, 43.6793661319391)}"
4,819425,65,Hendrick Ave,65 Hendrick Ave,former Toronto,1140587,1543317,36,343.0,1962.0,12,Toronto-St. Paul's,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4307521572934, 43.68010515177521)}"
5,12763904,260,Adelaide St W,260 Adelaide St W,former Toronto,12763900,1558261,85,332.0,1971.0,10,Spadina-Fort York,Fire Station,None,Fire Prevention Office (S),Division Commander / Platoon Chiefs,"{'type': 'Point', 'coordinates': (-79.3895641902632, 43.6483065339531)}"
6,6349868,745,Meadowvale Rd,745 Meadowvale Rd,Scarborough,6349869,1567567,68,214.0,1982.0,25,Scarborough-Rouge Park,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.1636016041726, 43.7942107669436)}"
7,10757599,140,Lansdowne Ave,140 Lansdowne Ave,former Toronto,14674741,1578612,28,426.0,1972.0,4,Parkdale-High Park,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4388667003996, 43.6450864408369)}"
8,7027887,590,Jane St,590 Jane St,York,20004277,1605282,30,422.0,1965.0,4,Parkdale-High Park,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4909411711192, 43.6644021870805)}"
9,4792285,10,William Carson Cres,10 William Carson Cres,North York,13971133,1662173,91,121.0,1988.0,15,Don Valley West,Fire Station,Public Education Office,None,None,"{'type': 'Point', 'coordinates': (-79.4067807494981, 43.7485400772289)}"
10,7063061,267,Humberline Dr,267 Humberline Dr,Etobicoke,7063044,1662239,81,412.0,1975.0,1,Etobicoke North,Fire Station,None,Fire Prevention Office (W),None,"{'type': 'Point', 'coordinates': (-79.6176378075318, 43.7381082893591)}"
11,843876,16,Montgomery Ave,16 Montgomery Ave,former Toronto,1138230,1662464,7,134.0,1932.0,8,Eglinton-Lawrence,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3997683142874, 43.709656759521)}"
12,7762642,12,Grosvenor St,12 Grosvenor St,former Toronto,14673186,1669763,47,314.0,1939.0,13,Toronto Centre,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3846617684612, 43.6630574201831)}"
13,6522583,33,Claremont St,33 Claremont St,former Toronto,1146109,1701571,41,331.0,1968.0,10,Spadina-Fort York,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.40977375240172, 43.6473361193742)}"
14,8823994,115,Parkway Forest Dr,115 Parkway Forest Dr,North York,8823988,1783376,14,115.0,1983.0,17,Don Valley North,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.340686070112, 43.774403551164404)}"
15,3086204,399,The West Mall,399 The West Mall,Etobicoke,3086202,1792334,71,,,2,Etobicoke Centre,Admin Civic Centre,None,Fire Prevention Office (W),Fire Protection Engineer (1),"{'type': 'Point', 'coordinates': (-79.5654527814785, 43.6437720275364)}"
16,9847351,476,Lawrence Ave W,476 Lawrence Ave W,North York,9694792,1852933,9,132.0,1999.0,8,Eglinton-Lawrence,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4285718669164, 43.7197981523396)}"
17,10142756,615,Royal York Rd,615 Royal York Rd,Etobicoke,10142758,1918334,25,433.0,1953.0,3,Etobicoke-Lakeshore,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5029381693498, 43.628018538118205)}"
18,6044964,947,Martin Grove Rd,947 Martin Grove Rd,Etobicoke,6044958,1959089,22,441.0,1964.0,1,Etobicoke North,Fire Station,None,None,West Training Centre / Fire Training Tower,"{'type': 'Point', 'coordinates': (-79.5719196489125, 43.6949604663995)}"
19,69771,555,Oakwood Ave,555 Oakwood Ave,York,7809,1961768,38,341.0,1968.0,12,Toronto-St. Paul's,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4411405905638, 43.6945203032832)}"
20,6738444,3,Lunness Rd,3 Lunness Rd,Etobicoke,6738419,1977909,24,434.0,1958.0,3,Etobicoke-Lakeshore,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5439889406404, 43.6025703358919)}"
21,8741293,20,Balmoral Ave,20 Balmoral Ave,former Toronto,20062243,1995083,50,311.0,1911.0,12,Toronto-St. Paul's,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3939758413006, 43.6859508063859)}"
22,8837366,153,Chatham Ave,153 Chatham Ave,former Toronto,20080084,2004250,86,323.0,1963.0,14,Toronto-Danforth,Fire Station,None,Fire Prevention Office (E),None,"{'type': 'Point', 'coordinates': (-79.3346621153039, 43.6795428878229)}"
23,2219446,40,Coronation Dr,40 Coronation Dr,Scarborough,2219434,2004920,57,234.0,1966.0,24,Scarborough-Guildwood,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.1915220291274, 43.7610681663423)}"
24,7985900,462,Runnymede Rd,462 Runnymede Rd,former Toronto,7985886,2025112,90,,1929.0,4,Parkdale-High Park,Admin,Public Education Office,None,None,"{'type': 'Point', 'coordinates': (-79.4796294010287, 43.6583545553015)}"
25,14209058,77,Elizabeth St,77 Elizabeth St,former Toronto,7792275,2028054,70,,,10,Spadina-Fort York,Admin,None,Fire Prevention Office (S),Fire Protection Engineer (1),"{'type': 'Point', 'coordinates': (-79.3845031489437, 43.6542268122485)}"
26,330710,2575,Eglinton Ave E,2575 Eglinton Ave E,Scarborough,111065,2048861,66,221.0,2014.0,20,Scarborough Southwest,Fire Station,None,None,Division Commander / Platoon Chiefs,"{'type': 'Point', 'coordinates': (-79.2550627035035, 43.7347901432983)}"
27,6620011,1313,Woodbine Ave,1313 Woodbine Ave,East York,6620012,2062647,63,224.0,1950.0,19,Beaches-East York,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3165970101621, 43.6951874596139)}"
28,4570660,2340,Birchmount Rd,2340 Birchmount Rd,Scarborough,4570662,2063805,52,244.0,1971.0,22,Scarborough-Agincourt,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.2991153286616, 43.7816824952725)}"
29,6294642,87,Main St,87 Main St,former Toronto,1140025,2080935,61,226.0,1910.0,19,Beaches-East York,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.2990652659353, 43.681923340992405)}"
30,11541989,143,Bond Ave,143 Bond Ave,North York,11541986,2108616,12,123.0,1956.0,16,Don Valley East,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.346726033251, 43.7458140063562)}"
31,7785457,3135,Yonge St,3135 Yonge St,former Toronto,7785453,2119715,10,131.0,1931.0,15,Don Valley West,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4021572823979, 43.7262170049856)}"
32,11485133,3,Dohme Ave,3 Dohme Ave,East York,11485130,2165165,89,,1958.0,19,Beaches-East York,Admin,Public Education Office,Fire Prevention Office (E),Professional Standards and Training,"{'type': 'Point', 'coordinates': (-79.3106630898148, 43.7108674495253)}"
33,9486826,116,Dorset Rd,116 Dorset Rd,Scarborough,14666179,2172861,64,223.0,1953.0,20,Scarborough Southwest,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.2332610776553, 43.7239567617954)}"
34,8714126,740,Markham Rd,740 Markham Rd,Scarborough,8714123,2175731,59,231.0,1960.0,24,Scarborough-Guildwood,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.2277876628423, 43.7646440088669)}"
35,8677247,34,Yorkville Ave,34 Yorkville Ave,former Toronto,14014191,2224532,49,312.0,1876.0,11,University-Rosedale,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3889203795552, 43.6718748612736)}"
36,4840624,4560,Sheppard Ave E,4560 Sheppard Ave E,Scarborough,4840625,2236216,53,243.0,1972.0,23,Scarborough North,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.2629602053098, 43.7891369171176)}"
37,1027149,666,Renforth Dr,666 Renforth Dr,Etobicoke,910843,2238015,20,444.0,1965.0,2,Etobicoke Centre,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5826959880308, 43.6574667398934)}"
38,354673,5318,Lawrence Ave E,5318 Lawrence Ave E,Scarborough,107237,2250005,67,215.0,1974.0,25,Scarborough-Rouge Park,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.1480658922187, 43.7773919350636)}"
39,7583839,358,Keele St,358 Keele St,former Toronto,14014794,2286011,80,423.0,1954.0,4,Parkdale-High Park,Fire Station,None,Fire Prevention Office (W),None,"{'type': 'Point', 'coordinates': (-79.4647539608107, 43.6647417825914)}"
40,20110476,8500,Sheppard Ave E,8500 Sheppard Ave E,Scarborough,104501,2303629,75,212.0,2003.0,25,Scarborough-Rouge Park,Fire Station,None,Fire Prevention Office (E),None,"{'type': 'Point', 'coordinates': (-79.1886200061229, 43.8049322415793)}"
41,9980187,1904,Queen St E,1904 Queen St E,former Toronto,9980168,2309211,60,227.0,1905.0,19,Beaches-East York,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3050381995295, 43.6691630088656)}"
42,2374883,755,Warden Ave,755 Warden Ave,Scarborough,8741020,2449586,65,222.0,1960.0,20,Scarborough Southwest,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.28409061959681, 43.7203994274048)}"
43,19832,256,Cosburn Ave,256 Cosburn Ave,East York,14646506,2455220,45,322.0,1994.0,14,Toronto-Danforth,Fire Station,None,None,Accreditation,"{'type': 'Point', 'coordinates': (-79.3423437199078, 43.6909861622398)}"
44,11533910,7,Lapsley Rd,7 Lapsley Rd,Scarborough,11533909,2458686,1,213.0,1974.0,23,Scarborough North,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.2259619086159, 43.7954066088734)}"
45,990940,280,Burnhamthorpe Rd,280 Burnhamthorpe Rd,Etobicoke,911274,2544120,19,445.0,1960.0,2,Etobicoke Centre,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5451030832103, 43.649348178119)}"
46,982440,1549,Albion Rd,1549 Albion Rd,Etobicoke,906946,2546874,33,413.0,1972.0,1,Etobicoke North,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5869058522884, 43.7402187055703)}"
47,8731578,255,Esther Shiner Blvd,255 Esther Shiner Blvd,North York,30005958,2607109,78,116.0,2007.0,17,Don Valley North,Fire Station,None,"Fire Prevention Office (E, N)",Division Commander / Platoon Chiefs,"{'type': 'Point', 'coordinates': (-79.3650636554859, 43.7691459436276)}"
48,8100063,155,The East Mall,155 The East Mall,Etobicoke,8100062,2609714,26,432.0,1980.0,3,Etobicoke-Lakeshore,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5493536952449, 43.6233410114915)}"
49,5464019,3600,Danforth Ave,3600 Danforth Ave,Scarborough,5464008,2642292,62,225.0,1998.0,20,Scarborough Southwest,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.2684946045652, 43.6959168731747)}"
50,6942838,308,Prince Edward Dr S,308 Prince Edward Dr S,Etobicoke,6942837,2663266,27,431.0,1958.0,3,Etobicoke-Lakeshore,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5048470438209, 43.6464360660255)}"
51,9655766,2120,Kipling Ave,2120 Kipling Ave,Etobicoke,9655751,2750607,32,415.0,1954.0,1,Etobicoke North,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5703767704744, 43.7178772080563)}"
52,560567,700,Seneca Hill Dr,700 Seneca Hill Dr,North York,436832,2788036,16,113.0,1969.0,17,Don Valley North,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3508330020753, 43.7931779343076)}"
53,20035267,1505,Lawrence Ave W,1505 Lawrence Ave W,North York,9796670,2829802,8,133.0,1962.0,5,York South-Weston,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.482184879151, 43.7071848480233)}"
54,792196,83,Deforest Rd,83 Deforest Rd,former Toronto,1146026,2943084,29,425.0,1964.0,4,Parkdale-High Park,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4780588288151, 43.6479870238738)}"
55,9531843,6,Lambton Ave,6 Lambton Ave,York,9531839,2973435,31,421.0,1956.0,5,York South-Weston,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4853016276853, 43.6843003946467)}"
56,531061,2753,Jane St,2753 Jane St,North York,442012,2982185,5,142.0,1982.0,7,Humber River-Black Creek,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.51437064341631, 43.7459827062059)}"
57,7974292,240,Howland Ave,240 Howland Ave,former Toronto,30017353,2997539,83,344.0,1910.0,11,University-Rosedale,Fire Station,None,Fire Prevention Office (S),None,"{'type': 'Point', 'coordinates': (-79.4118241402967, 43.6729622271664)}"
