,Location_key,Longitude,Latitude,Intersection,Level_Of_Origin,Postal_Code,Dissemination_area
0,68655994,-79.599419224,43.686558177,Dixon Rd / 427 N Dixon Ramp,1,M9W 5N4,35204479
1,76613900,-79.390039484,43.766134782,Sheppard Ave E / Clairtrell Rd,1,M2N 3B1,35200357
2,74322450,-79.245061178,43.743230192,Danforth Rd / Savarin St,1,M1J 2E1,35204348
3,70864780,-79.478062181,43.708659308,Keele St / Lawrence Ave W,999,M6M 4A2,35204460
4,71814431,-79.44318446300001,43.718118427,Replin Rd / Tapestry Lane,1,M6A 2N4,35202136
5,77371622,-79.162282369,43.773787285,Lawrence Ave E / Beechgrove Dr,1,M1E 3Y3,35204771
6,71483041,-79.304107481,43.714810685,Westview Blvd / Holland Ave,002,M4B 2V7,35204055
7,74852223,-79.222367205,43.748581746000006,Peking Rd / Nelson St,011,M1J 3P2,35204332
8,65213823,-79.382336044,43.652151665,Bay St,003,M5H 1W2,35200855
9,65384518,-79.45184606800001,43.653882472,Roncesvalles Ave / Dundas St W,1,M6R 3A9,35201406
10,69932591,-79.25917222,43.699353607,Anneke Rd / Pinegrove Ave,1,M1N 2G2,35203257
11,65683625,-79.362569263,43.656807034,Sydenham St / Tracy St,001,M5A 3E7,35200808
12,69522923,-79.292393023,43.69527443,Crescent Town Rd / Crescent Pl,1,M4C 5M9,35204765
13,69714476,-79.44763566600001,43.697105447,Livingstone Ave / Locksley Ave,001,M6C 2E5,35202310
14,69394692,-79.469277049,43.693906382,Lonborough Ave / Alyward St,1,M6M 3X7,35201213
15,78322882,-79.288263729,43.78328685899999,Kennedy Rd / Sheppard Ave E,1,M1T 3L4,35203946
16,71172625,-79.262511492,43.711712845,Kilmarnock Ave / Davidson Ave,001,M1K 1A8,35203491
17,76783831,-79.383139545,43.767803781000005,Sheppard Ave E / Rean Dr / Hawksbury Dr,020,M2K 0A4,35204817
18,70154484,-79.448442722,43.701555649,Castlefield Ave / Locksley Ave,001,M6B 4J3,35202218
19,68812969,-79.296947332,43.688192965,Dawes Rd / Guest Ave,1,M4C 5A7,35205059
20,69174676,-79.467696023,43.691716099,Eglinton Ave W / Gabian Way,1,M6M 3P1,35201203
21,75654976,-79.497659412,43.756598982,Hucknall Rd / Mantello Dr / Madron Cres,1,M3J 1T9,35202028
22,76173472,-79.34722980800001,43.761751872,Don Mills Rd / Duncan Mill Rd / Graydon Hall Dr,007,M3B 3H2,35200389
23,71875729,-79.57292065600001,43.718759408,Taber Rd / Brydon Dr,001,M9W 3A4,35201840
24,70905872,-79.58725739399999,43.709060058,Bethridge Rd / Precision Rd,1,M9W 7C8,35204479
25,63614934,-79.493427727,43.63615695,Park Lawn Rd / Berry Rd,1,M8Y 1W5,35203132
26,64104102,-79.410250172,43.641012791,Stafford St / Wellington St W,003,M5V 3H5,35203163
27,75845893,-79.589353324,43.758460728,Kipling Ave / Markbrook Lane,1,M9V 4P2,35203027
28,66493845,-79.384595885,43.664937283,Yonge St / Wellesley St E / Wellesley St W,1,M4Y 1E7,35204594
30,65043719,-79.371913897,43.650463956,King St E / Jarvis St,1,M5E 0A1,35204230
31,68503928,-79.392854227,43.685025923000005,Yonge St / Farnham Ave / Jackes Ave,1,M4T 1X3,35202788
32,65743813,-79.381369962,43.657415948,Yonge St / Gould St,1,M5B 1R7,35204609
33,75114896,-79.489649646,43.751177985,Sharpecroft Blvd / Stilecroft Dr,1,M3J 1A7,35201999
34,72724663,-79.46636187600001,43.727261798,Whitley Ave / Northgate Dr,1,M3K 1S6,35202162
35,74674444,-79.444427765,43.746754563,Almore Ave / Marwill St,001,M3H 2K2,35202113
36,67294437,-79.443764516,43.672958128000005,Via Italia / Nunes Lane,1,M6E 1B9,35201142
37,68865428,-79.542873558,43.688620231,Islington Ave / The Westway,1,M9P 3N3,35201806
38,64944258,-79.42582447,43.649482881,Coolmine Rd / Dundas St W,1,M6J 1X8,35201416
39,67213875,-79.38758404,43.672162459,Yonge St / Collier St,1,M4W 2G8,35202819
40,70454771,-79.477117566,43.704558176000006,Keele St / Milford Ave,1,M6M 2L7,35204460
42,77963457,-79.345735114,43.779634386000005,Godstone Rd / Fairview Mall Dr,002,M2J 2Z1,35200313
43,73592202,-79.220204136,43.73593906600001,Kingston Rd / Parkcrest Dr,1,M1M 2J1,35204333
45,69312912,-79.291298543,43.693144729,Thyra Ave / Dentonia Park Ave,009,M4C 1M6,35200643
46,72704709,-79.47097810300001,43.727071857,Winston Park Blvd / Deverell Cres,1,M3K 1E4,35202162
47,73485612,-79.56121560300001,43.734839939,Riverdale Dr / College St,1,M9V 1A4,35204376
48,70963906,-79.390657675,43.709615547,Mount Pleasant Rd / Roehampton Ave,004,M4P 1K5,35202655
50,78781905,-79.19059108100001,43.78783884,Military Trl / Pan Am Dr,1,M1C 1A4,35203700
51,60145464,-79.546491933,43.601412098,Horner Ave / Orianna Dr,001,M8W 2C2,35201587
